年,月,規模,就業形態,現金給与総額,きまって支給する給与,所定内給与,所定外給与,特別給与,総実労働時間,所定内労働時間,所定外労働時間,前月末労働者数,本月末労働者数,パートタイム労働者数,現金給与総額指数,きまって支給する給与指数,所定内給与指数,所定外給与指数,特別給与指数,総実労働時間指数,所定内労働時間指数,所定外労働時間指数,CPI(持ち家除く総合),実質_現金給与総額指数,実質_きまって支給する給与指数,実質_所定内給与指数,実質_所定外給与指数,実質_特別給与指数,実質_現金給与総額,実質_きまって支給する給与,実質_所定内給与,実質_所定外給与,実質_特別給与
1983,99,100〜499人,形態計,299806,222463.0,202550.0,,77343.0,174.3,160.8,13.5,7326960.0,7325786.0,,80.29320628084919,74.49926492995904,73.97168223036216,,103.43015325363073,120.62283737024222,121.35849056603773,112.5,81.0,99.1274151615422,91.97440114809758,91.3230644819286,,127.69154722670461,370130.86419753084,274645.6790123457,250061.7283950617,,95485.18518518518
1983,99,30〜99人,形態計,264750,201968.0,188645.0,,62782.0,175.8,164.3,11.5,8291554.0,8289727.0,,85.0372911407042,79.12835320344303,79.89911225561616,,111.92483910648387,123.89006342494714,126.28747117601846,97.45762711864407,81.0,104.9843100502521,97.68932494252226,98.64087932792118,,138.17881371170847,326851.85185185185,249343.2098765432,232895.06172839506,,77508.64197530864
1984,99,30人以上,形態計,310463,230594.0,209445.0,,79869.0,176.3,162.1,14.2,19951427.0,19953576.0,,83.59082195321587,77.88653804582792,77.32963628912263,,106.00578679125078,122.09141274238226,122.8030303030303,114.51612903225805,82.8,100.95509897731385,94.06586720510619,93.39328054241864,,128.0263125498198,374955.31400966184,278495.16908212565,252952.89855072464,,96460.14492753624
1984,99,500人以上,形態計,371548,268572.0,234927.0,,102976.0,176.1,157.5,18.6,4273111.0,4273815.0,,77.52211650809548,73.09235199024609,71.12555593568251,,92.07603855576816,118.10865191146883,116.75315048183839,130.98591549295776,82.8,93.62574457499454,88.27578742783344,85.9004298740127,,111.20294511566205,448729.4685990339,324362.3188405797,283728.26086956525,,124367.14975845412
1984,99,100〜499人,形態計,313829,231900.0,210552.0,,81929.0,175.2,161.1,14.1,7483678.0,7483154.0,,84.04880700824073,77.6595637803028,76.89402931111931,,109.56297306694482,121.24567474048442,121.58490566037736,117.5,82.8,101.50822102444532,93.79174369601787,92.86718515835666,,132.32243124027153,379020.53140096617,280072.46376811597,254289.8550724638,,98948.06763285024
1984,99,30〜99人,形態計,275536,209597.0,195146.0,,65939.0,177.5,165.5,12.0,8194638.0,8196607.0,,88.50173768364522,82.11729306811993,82.65255988886253,,117.55299235198689,125.08809020436927,127.20983858570332,101.69491525423729,82.8,106.88615662275993,99.17547471995162,99.82193223292576,,141.9722129854914,332772.9468599034,253136.47342995167,235683.5748792271,,79636.4734299517
1985,99,30人以上,形態計,317091,236587.0,214255.0,,80504.0,175.8,161.0,14.8,20216514.0,20215341.0,,85.37538232886745,79.91076253782965,79.10554667395246,,106.8485878105755,121.74515235457064,121.96969696969697,119.35483870967742,84.5,101.03595541877803,94.56894974891084,93.61603156680765,,126.44803291192366,375255.62130177516,279984.6153846154,253556.2130177515,,95271.00591715977
1985,99,500人以上,形態計,383964,277576.0,241883.0,,106388.0,175.2,156.0,19.2,4319890.0,4320770.0,,80.11266900350526,75.54280675589617,73.23152658651706,,95.1268799513582,117.50503018108651,115.64121571534469,135.2112676056338,84.5,94.80789231184055,89.39977130875286,86.66452850475392,,112.57618929154818,454395.2662721894,328492.3076923077,286252.07100591715,,125902.95857988164
1985,99,100〜499人,形態計,314078,234654.0,212059.0,,79424.0,175.3,160.3,15.0,7706924.0,7705412.0,,84.1154934933809,78.58183389091494,77.44438885257156,,106.21305731632297,121.31487889273357,120.98113207547169,125.0,84.5,99.54496271406023,92.99625312534312,91.65016432256989,,125.69592581813369,371689.94082840235,277697.0414201183,250957.39644970413,,93992.89940828402
1985,99,30〜99人,形態計,284648,216782.0,201747.0,,67866.0,176.4,164.2,12.2,8189701.0,8189161.0,,91.42849801178156,84.93227968860802,85.44836173889473,,120.98835861872249,124.31289640591967,126.21060722521138,103.38983050847457,84.5,108.19940593110245,100.51157359598581,101.12232158449082,,143.1814894896124,336861.5384615385,256546.74556213018,238753.84615384616,,80314.79289940828
1986,99,30人以上,形態計,327041,244216.0,221915.0,22301.0,82825.0,175.2,160.8,14.4,20379128.0,20373898.0,,88.0543768577952,82.48757025507997,81.9337116527043,88.43637228853551,109.92912507963474,121.32963988919667,121.81818181818183,116.12903225806453,84.8,103.83770855872076,97.27307813099054,96.6199429866796,104.28817486855604,129.63340221655042,385661.55660377356,287990.5660377359,261692.2169811321,26298.349056603773,97670.99056603774
1986,99,500人以上,形態計,390250,283113.0,249363.0,33750.0,107137.0,173.4,155.8,17.6,4533383.0,4529289.0,,81.42421966282758,77.0497112469451,75.49614137493604,90.86503513448025,95.7965986516211,116.29778672032194,115.49295774647888,123.943661971831,84.8,96.01912696088158,90.86050854592582,89.02846860251893,107.15216407367956,112.96768708917581,460200.47169811325,333859.6698113208,294060.141509434,39799.52830188679,126340.80188679245
1986,99,100〜499人,形態計,321792,240371.0,218238.0,22133.0,81421.0,174.9,160.4,14.5,8248376.0,8246985.0,,86.18143544667893,80.49636483585668,79.70097253315122,89.28196853569987,108.88362887480274,121.03806228373703,121.05660377358491,120.83333333333333,84.8,101.6290512342912,94.92495853284987,93.98699591173492,105.28534025436306,128.40050574858816,379471.69811320753,283456.3679245283,257356.13207547172,26100.235849056604,96015.33018867925
1986,99,30〜99人,形態計,295039,225191.0,209536.0,15655.0,69848.0,176.8,164.3,12.5,7597370.0,7597623.0,,94.76607116472984,88.22681309037341,88.74733168434248,81.80488059779485,124.52177633572816,124.59478505990134,126.28747117601846,105.93220338983049,84.8,111.75244241123804,104.04105317261016,104.65487226927179,96.46801957287128,146.84171737703792,347923.3490566038,265555.4245283019,247094.3396226415,18461.084905660377,82367.92452830188
1987,99,30人以上,形態計,335944,251298.0,228274.0,23024.0,84646.0,175.9,161.1,14.8,20392368.0,20381758.0,,90.45147115840263,84.8796206225681,84.28153163963418,91.30348574374429,112.34603949883201,121.81440443213296,122.04545454545455,119.35483870967742,84.6,106.91663257494402,100.33052083045875,99.62355985772362,107.92374201388215,132.79673699625533,397096.926713948,297042.55319148937,269827.4231678487,27215.130023640664,100054.37352245864
1987,99,500人以上,形態計,398691,290450.0,256484.0,33966.0,108241.0,173.9,156.4,17.5,4541399.0,4534365.0,,83.18540310465698,79.04648896968773,77.65206676375041,91.44657135934092,96.78374076789642,116.63313212608988,115.93773165307636,123.23943661971832,84.6,98.32789965089479,93.43556615802333,91.78731295951586,108.0928739472115,114.40158483202887,471265.9574468085,343321.5130023641,303172.5768321513,40148.936170212764,127944.44444444445
1987,99,100〜499人,形態計,330387,246988.0,223863.0,23125.0,83399.0,175.6,160.6,15.0,8253093.0,8248935.0,,88.48332436145682,82.7122912417828,81.75523425887715,93.28358208955224,111.52879189066303,121.52249134948096,121.20754716981132,125.0,84.6,104.59021792134378,97.76866577042884,96.63739274098955,110.26428142973079,131.83072327501543,390528.36879432626,291947.9905437353,264613.47517730494,27334.515366430263,98580.37825059102
1987,99,30〜99人,形態計,304505,232597.0,216218.0,16379.0,71908.0,177.7,164.6,13.1,7597876.0,7598458.0,,97.80653574617614,91.1283845463699,91.5774404499712,85.58812771071746,128.19424883675325,125.2290345313601,126.51806302843967,111.01694915254237,84.6,115.61056234772593,107.71676660327412,108.24756554370121,101.16799965805848,151.52984496070127,359934.9881796691,274937.3522458629,255576.83215130024,19360.52009456265,84997.63593380616
1988,99,30人以上,形態計,341160,254865.0,229924.0,24941.0,86295.0,175.9,160.2,15.7,21512510.0,21534975.0,,91.85585663205961,86.08442769130998,84.89073166769431,98.90550025776263,114.53466765767679,121.81440443213296,121.36363636363636,126.61290322580645,85.1,107.93872694719109,101.15678929648648,99.7540912663858,116.22267950383387,134.58832862241692,400893.0669800235,299488.83666274976,270180.96357226797,29307.873090481786,101404.2303172738
1988,99,500人以上,形態計,418427,302645.0,263240.0,39405.0,115782.0,175.4,155.5,19.9,4160304.0,4161089.0,,87.30324653647136,82.36538011441262,79.69748621703366,106.08997657701316,103.5265294443749,117.63916834339369,115.27057079318013,140.14084507042253,85.1,102.58900885601805,96.78658062798193,93.65157017277751,124.66507235841735,121.65279605684478,491688.60164512345,355634.54759106936,309330.1997649824,46304.34782608696,136054.05405405405
1988,99,100〜499人,形態計,344919,256082.0,230076.0,26006.0,88837.0,175.3,159.5,15.8,7912733.0,7922489.0,,92.37524404843207,85.75772493310694,84.0242348103323,104.90520371117387,118.80098424670358,121.31487889273357,120.37735849056604,131.66666666666666,85.1,108.54905293587787,100.77288476275787,98.73588109322246,123.27285982511617,139.6016266118726,405310.223266745,300918.91891891893,270359.5769682726,30559.341950646303,104391.3043478261
1988,99,30〜99人,形態計,303973,232797.0,215120.0,17677.0,71176.0,176.5,162.9,13.6,9439473.0,9451398.0,,97.63565816775554,91.20674186357208,91.11239114966287,92.37080002090192,126.88927317134045,124.38336856941507,125.21137586471947,115.25423728813557,85.1,114.73050313484788,107.17595988668872,107.06508948256509,108.54383081187066,149.10607893224494,357195.0646298473,273556.9917743831,252784.95887191544,20772.032902467687,83638.07285546417
